fecha,dia_semana,hora,tipo_tramite,personas_en_fila,ventanillas_abiertas,tiempo_espera_min
2026-04-15,Martes,15,Impuestos,32,6,24.33
2026-02-27,Viernes,11,Impuestos,88,3,42.33
2026-03-22,Miércoles,10,Pasaporte,57,5,18.4
2026-02-04,Martes,12,Pasaporte,100,6,23.67
2026-01-30,Jueves,13,Impuestos,79,3,33.33
2026-02-12,Martes,15,Impuestos,34,5,12.8
2026-02-19,Jueves,16,Licencia,6,6,18.0
2026-05-01,Viernes,12,Certificado,98,5,37.6
2026-04-13,Miércoles,16,Impuestos,19,5,15.8
2026-03-04,Martes,7,Impuestos,29,4,24.25
2026-04-28,Jueves,9,Certificado,79,6,18.17
2026-03-14,Martes,17,Impuestos,6,2,21.0
2026-01-24,Martes,7,Impuestos,21,5,19.2
2026-02-11,Miércoles,12,Licencia,108,4,45.0
2026-03-02,Martes,7,Licencia,39,2,35.5
2026-04-10,Martes,17,Licencia,7,2,15.5
2026-03-21,Lunes,9,Certificado,55,3,38.33
2026-01-28,Viernes,14,Certificado,92,4,33.0
2026-04-06,Lunes,8,Certificado,89,3,43.67
2026-01-04,Martes,11,Licencia,76,5,32.2
2026-03-17,Viernes,17,Licencia,20,2,24.0
2026-04-12,Miércoles,16,Licencia,7,4,19.75
2026-03-06,Jueves,17,Licencia,26,2,31.0
2026-02-25,Martes,12,Certificado,118,3,57.33
2026-03-25,Jueves,11,Impuestos,79,6,33.17
2026-04-16,Lunes,16,Carnet,22,4,17.5
2026-04-23,Miércoles,14,Licencia,91,5,35.2
2026-03-05,Miércoles,12,Carnet,83,5,27.6
2026-02-13,Viernes,11,Licencia,96,6,29.0
2026-03-08,Jueves,10,Certificado,45,3,33.0
2026-04-08,Jueves,10,Licencia,84,5,36.8
2026-01-12,Miércoles,11,Certificado,54,5,22.8
2026-02-17,Jueves,14,Certificado,130,6,37.67
2026-02-12,Miércoles,12,Pasaporte,118,4,43.5
2026-01-16,Martes,10,Pasaporte,60,2,40.0
2026-04-05,Lunes,14,Pasaporte,95,6,29.83
2026-02-07,Lunes,10,Certificado,63,3,35.0
2026-01-17,Martes,11,Impuestos,42,2,35.0
2026-01-14,Jueves,7,Carnet,23,5,24.6
2026-01-24,Lunes,7,Impuestos,21,5,12.2
2026-03-04,Martes,8,Certificado,76,2,47.0
2026-02-08,Viernes,8,Certificado,55,2,45.5
2026-04-12,Jueves,16,Impuestos,19,6,20.17
2026-02-08,Viernes,16,Licencia,32,4,14.0
2026-04-08,Lunes,10,Pasaporte,80,3,39.67
2026-01-31,Lunes,9,Impuestos,75,2,47.5
2026-02-27,Martes,16,Carnet,35,4,14.75
2026-04-01,Martes,11,Carnet,84,5,23.8
2026-04-11,Viernes,17,Pasaporte,17,5,11.4
2026-03-24,Lunes,9,Licencia,98,4,33.5
2026-01-22,Jueves,11,Licencia,78,6,27.0
2026-03-01,Viernes,11,Certificado,84,5,29.8
2026-03-05,Jueves,14,Carnet,70,6,17.67
2026-03-19,Viernes,11,Certificado,41,2,32.5
2026-01-03,Martes,17,Impuestos,22,6,9.67
2026-03-08,Viernes,17,Impuestos,33,4,18.25
2026-03-23,Jueves,14,Carnet,71,5,30.2
2026-02-11,Jueves,17,Impuestos,11,3,18.67
2026-02-06,Jueves,17,Licencia,30,6,11.0
2026-02-10,Viernes,11,Licencia,60,2,47.0
2026-03-26,Martes,15,Certificado,34,5,12.8
2026-02-16,Martes,16,Carnet,36,5,13.2
2026-03-12,Jueves,9,Licencia,99,4,43.75
2026-01-04,Viernes,17,Licencia,20,3,20.67
2026-03-12,Jueves,13,Licencia,71,3,31.67
2026-03-24,Jueves,9,Impuestos,71,4,30.75
2026-03-02,Jueves,10,Pasaporte,69,6,20.5
2026-04-28,Miércoles,16,Impuestos,37,3,19.33
2026-02-13,Miércoles,15,Certificado,22,2,25.0
2026-03-16,Viernes,17,Impuestos,36,3,31.0
2026-02-14,Jueves,12,Carnet,130,6,38.67
2026-04-22,Martes,10,Impuestos,84,3,45.0
2026-01-06,Martes,12,Impuestos,120,5,41.0
2026-01-05,Lunes,9,Impuestos,72,6,27.0
2026-01-13,Jueves,15,Pasaporte,34,2,26.0
2026-01-10,Lunes,14,Carnet,93,4,40.25
2026-04-20,Jueves,17,Certificado,39,5,22.8
2026-01-05,Martes,16,Licencia,9,3,17.0
2026-02-25,Martes,8,Carnet,88,2,63.0
2026-04-26,Miércoles,7,Carnet,7,4,7.75
2026-02-17,Viernes,13,Pasaporte,78,3,44.0
2026-01-22,Viernes,9,Pasaporte,45,6,24.5
2026-03-05,Miércoles,16,Impuestos,14,3,23.67
2026-02-02,Viernes,17,Pasaporte,5,5,15.0
2026-01-10,Jueves,14,Carnet,104,6,31.33
2026-02-28,Lunes,11,Pasaporte,52,5,30.4
2026-02-18,Miércoles,16,Licencia,27,6,18.5
2026-04-17,Viernes,17,Licencia,30,4,12.5
2026-04-27,Viernes,16,Carnet,36,4,21.0
2026-01-29,Martes,17,Licencia,17,6,15.83
2026-04-26,Lunes,17,Certificado,7,4,20.75
2026-02-16,Jueves,9,Pasaporte,45,4,26.25
2026-01-26,Viernes,9,Certificado,90,6,31.0
2026-04-27,Jueves,11,Carnet,93,3,44.0
2026-04-06,Martes,12,Pasaporte,74,5,21.8
2026-04-21,Lunes,17,Impuestos,30,6,21.0
2026-01-02,Miércoles,11,Carnet,74,2,56.0
2026-03-16,Jueves,13,Licencia,107,2,65.5
2026-03-21,Lunes,15,Impuestos,25,6,16.17
2026-04-27,Martes,11,Licencia,81,5,24.2
2026-01-05,Martes,11,Certificado,71,2,43.5
2026-01-18,Viernes,13,Pasaporte,118,4,47.5
2026-04-24,Miércoles,13,Licencia,72,5,32.4
2026-03-30,Martes,12,Carnet,87,5,36.4
2026-01-13,Lunes,17,Impuestos,28,6,20.67
2026-02-05,Martes,10,Certificado,47,5,16.4
2026-01-03,Viernes,7,Pasaporte,26,3,17.67
2026-01-09,Martes,15,Carnet,18,6,14.0
2026-04-10,Miércoles,9,Pasaporte,90,6,20.0
2026-01-17,Lunes,15,Pasaporte,21,3,15.0
2026-01-02,Lunes,12,Pasaporte,90,6,30.0
2026-02-03,Lunes,7,Impuestos,13,5,10.6
2026-02-27,Jueves,12,Certificado,125,6,28.83
2026-01-29,Jueves,16,Licencia,7,6,15.17
2026-01-08,Jueves,14,Impuestos,111,5,30.2
2026-01-10,Lunes,8,Pasaporte,60,6,19.0
2026-02-05,Viernes,16,Certificado,40,4,27.0
2026-02-07,Lunes,14,Licencia,124,6,38.67
2026-04-20,Jueves,17,Pasaporte,40,3,31.33
2026-02-22,Lunes,12,Carnet,118,5,41.6
2026-02-24,Jueves,12,Licencia,92,4,32.0
2026-01-12,Miércoles,8,Pasaporte,45,5,17.0
2026-03-13,Lunes,7,Impuestos,40,6,21.67
2026-02-15,Viernes,17,Carnet,32,2,30.0
2026-02-15,Martes,8,Impuestos,76,6,23.67
2026-01-29,Lunes,8,Carnet,62,6,26.33
2026-03-15,Viernes,10,Carnet,91,5,23.2
2026-01-04,Miércoles,9,Licencia,57,4,29.25
2026-01-24,Martes,9,Licencia,76,5,22.2
2026-01-12,Jueves,15,Carnet,18,5,21.6
2026-01-21,Lunes,12,Pasaporte,99,4,31.75
2026-01-21,Jueves,16,Impuestos,8,2,17.0
2026-03-04,Martes,16,Certificado,33,5,19.6
2026-01-15,Viernes,12,Impuestos,115,2,71.5
2026-03-09,Jueves,17,Certificado,24,2,24.0
2026-01-08,Martes,7,Carnet,18,4,15.5
2026-02-07,Jueves,12,Pasaporte,75,2,57.5
2026-01-17,Lunes,13,Impuestos,128,3,58.67
2026-04-21,Lunes,7,Carnet,32,2,35.0
2026-03-15,Miércoles,13,Licencia,133,5,44.6
2026-02-21,Miércoles,7,Licencia,25,3,27.33
2026-02-25,Viernes,8,Licencia,55,5,28.0
2026-02-20,Miércoles,11,Pasaporte,87,4,33.75
2026-01-10,Miércoles,15,Carnet,12,6,13.0
2026-04-04,Martes,17,Carnet,14,3,12.67
2026-01-26,Martes,9,Impuestos,78,3,33.0
2026-03-01,Miércoles,16,Pasaporte,33,6,20.5
2026-02-26,Miércoles,8,Certificado,70,5,28.0
2026-01-08,Jueves,12,Impuestos,124,2,76.0
2026-01-05,Lunes,7,Certificado,28,4,14.0
2026-03-18,Jueves,15,Certificado,29,5,11.8
2026-03-25,Viernes,10,Pasaporte,60,6,30.0
2026-01-08,Viernes,14,Pasaporte,73,4,25.25
2026-01-06,Viernes,10,Certificado,85,5,36.0
2026-03-20,Jueves,9,Impuestos,63,4,29.75
2026-04-10,Lunes,12,Carnet,136,2,83.0
2026-01-13,Viernes,15,Pasaporte,29,4,20.25
2026-02-12,Miércoles,8,Impuestos,77,3,41.67
2026-01-17,Miércoles,16,Pasaporte,10,4,19.5
2026-03-27,Viernes,17,Carnet,38,2,37.0
2026-01-03,Miércoles,12,Impuestos,99,3,44.0
2026-01-25,Miércoles,10,Licencia,48,3,23.0
2026-03-06,Viernes,15,Pasaporte,38,2,34.0
2026-03-18,Viernes,13,Pasaporte,79,3,36.33
2026-04-03,Martes,14,Impuestos,65,5,29.0
2026-03-20,Viernes,11,Pasaporte,88,5,29.6
2026-02-09,Jueves,14,Carnet,84,4,40.0
2026-04-10,Martes,13,Pasaporte,124,6,38.67
2026-04-13,Jueves,16,Carnet,13,4,9.25
2026-03-12,Miércoles,8,Licencia,85,6,22.17
2026-04-08,Jueves,9,Licencia,57,5,20.4
2026-04-27,Lunes,10,Impuestos,92,5,34.4
2026-01-07,Jueves,13,Licencia,124,4,43.0
2026-02-17,Miércoles,10,Pasaporte,41,4,18.25
2026-01-18,Jueves,7,Impuestos,23,5,13.6
2026-03-20,Martes,7,Pasaporte,10,2,18.0
2026-03-12,Miércoles,16,Pasaporte,38,5,15.6
2026-02-08,Viernes,8,Impuestos,43,3,32.33
2026-01-09,Viernes,8,Certificado,93,5,23.6
2026-01-31,Viernes,9,Carnet,58,5,16.6
2026-01-31,Viernes,16,Carnet,31,3,17.33
2026-01-09,Jueves,15,Impuestos,39,6,11.5
2026-01-06,Lunes,17,Carnet,29,4,20.25
2026-04-11,Viernes,8,Carnet,62,3,28.67
2026-01-18,Martes,7,Impuestos,27,6,19.5
2026-03-31,Lunes,14,Impuestos,140,3,55.67
2026-01-05,Lunes,11,Carnet,52,2,37.0
2026-04-30,Miércoles,11,Licencia,72,5,34.4
2026-04-07,Lunes,17,Carnet,17,4,20.25
2026-02-04,Jueves,8,Impuestos,91,4,40.75
2026-04-25,Jueves,13,Carnet,103,3,54.33
2026-04-29,Lunes,15,Impuestos,22,2,29.0
2026-03-19,Lunes,9,Licencia,74,4,33.5
2026-02-11,Viernes,17,Impuestos,23,4,24.75
2026-01-22,Miércoles,14,Certificado,104,5,26.8
2026-02-25,Jueves,11,Carnet,80,2,47.0
2026-03-07,Viernes,17,Impuestos,15,2,16.5
2026-01-05,Miércoles,9,Impuestos,44,3,30.67
2026-03-14,Miércoles,7,Impuestos,14,5,18.8
2026-04-08,Jueves,8,Carnet,76,3,41.33
2026-03-25,Martes,11,Impuestos,55,2,32.5
2026-03-08,Miércoles,13,Impuestos,131,2,78.5
2026-01-28,Lunes,16,Pasaporte,23,5,15.6
2026-04-20,Lunes,8,Carnet,68,3,41.67
2026-03-27,Miércoles,12,Pasaporte,68,6,25.33
2026-04-02,Lunes,17,Pasaporte,16,4,16.0
2026-04-12,Miércoles,9,Certificado,55,5,16.0
2026-03-15,Viernes,12,Licencia,119,6,28.83
2026-01-09,Jueves,11,Certificado,65,5,31.0
2026-01-10,Jueves,9,Certificado,60,2,49.0
2026-02-14,Martes,9,Impuestos,96,6,26.0
2026-03-06,Miércoles,7,Pasaporte,12,6,11.0
2026-01-21,Lunes,12,Carnet,88,4,36.0
2026-01-26,Miércoles,17,Certificado,40,4,19.0
2026-03-10,Martes,8,Certificado,72,3,33.0
2026-04-03,Lunes,16,Licencia,26,6,10.33
2026-01-06,Viernes,17,Licencia,21,3,25.0
2026-03-05,Jueves,17,Pasaporte,39,4,23.75
2026-04-14,Lunes,17,Licencia,30,4,26.5
2026-01-21,Martes,14,Carnet,113,5,41.6
2026-03-19,Jueves,9,Pasaporte,60,4,31.0
2026-04-08,Miércoles,12,Pasaporte,125,6,28.83
2026-03-01,Martes,8,Licencia,57,5,23.4
2026-01-07,Martes,11,Pasaporte,100,5,38.0
2026-04-15,Martes,12,Impuestos,133,4,44.25
2026-03-07,Lunes,14,Licencia,123,4,50.75
2026-05-01,Martes,13,Certificado,124,5,36.8
2026-02-15,Viernes,7,Impuestos,8,4,22.0
2026-02-06,Martes,15,Carnet,5,2,20.5
2026-04-04,Jueves,12,Licencia,111,4,33.75
2026-03-14,Lunes,15,Impuestos,17,4,18.25
2026-03-06,Martes,14,Licencia,130,4,40.5
2026-02-20,Martes,12,Pasaporte,103,6,33.17
2026-03-19,Lunes,15,Licencia,30,6,11.0
2026-01-18,Martes,12,Certificado,120,6,39.0
2026-04-25,Martes,15,Impuestos,13,4,18.25
2026-03-20,Viernes,11,Carnet,77,4,39.25
2026-03-02,Jueves,7,Certificado,28,4,15.0
2026-02-09,Miércoles,17,Certificado,6,6,21.0
2026-03-15,Martes,10,Certificado,86,2,63.0
2026-03-22,Lunes,16,Certificado,29,3,21.67
2026-03-31,Miércoles,8,Impuestos,52,2,45.0
2026-01-20,Lunes,13,Pasaporte,86,5,37.2
2026-03-08,Viernes,10,Impuestos,75,4,38.75
2026-02-10,Viernes,9,Carnet,69,6,26.5
2026-03-28,Martes,17,Pasaporte,21,6,23.5
2026-02-05,Miércoles,15,Pasaporte,24,3,22.0
2026-03-30,Viernes,14,Carnet,100,5,36.0
2026-02-06,Jueves,8,Carnet,76,6,29.67
2026-04-09,Lunes,9,Carnet,58,2,43.0
2026-04-29,Martes,14,Certificado,92,5,29.4
2026-02-04,Viernes,15,Certificado,22,3,15.33
2026-01-31,Martes,10,Licencia,43,6,19.17
2026-01-13,Martes,13,Licencia,102,5,28.4
2026-03-12,Martes,9,Carnet,66,5,33.2
2026-02-11,Viernes,11,Pasaporte,81,2,47.5
2026-03-10,Lunes,7,Impuestos,16,5,13.2
2026-04-11,Lunes,14,Carnet,83,4,26.75
2026-03-14,Jueves,16,Certificado,11,4,16.75
2026-03-09,Miércoles,14,Pasaporte,77,6,31.83
2026-04-14,Miércoles,8,Pasaporte,61,3,39.33
2026-01-02,Martes,12,Certificado,97,6,27.17
2026-04-20,Lunes,17,Impuestos,30,5,21.0
2026-03-27,Miércoles,8,Pasaporte,51,3,37.0
2026-01-01,Miércoles,11,Carnet,64,3,40.33
2026-02-08,Martes,16,Licencia,5,4,17.25
2026-03-27,Jueves,8,Certificado,69,4,27.25
2026-04-29,Miércoles,11,Certificado,84,2,56.0
2026-01-29,Jueves,10,Certificado,48,5,18.6
2026-02-17,Martes,13,Certificado,130,5,37.0
2026-04-22,Lunes,8,Certificado,73,5,30.6
2026-01-15,Viernes,7,Certificado,40,6,17.67
2026-01-20,Lunes,9,Pasaporte,60,6,29.0
2026-04-02,Lunes,16,Impuestos,36,2,37.0
2026-01-17,Viernes,15,Impuestos,31,5,12.2
2026-03-28,Miércoles,11,Licencia,86,2,60.0
2026-04-06,Jueves,10,Carnet,77,2,44.5
2026-03-31,Jueves,8,Licencia,74,2,44.0
2026-02-06,Miércoles,13,Impuestos,83,3,45.67
2026-02-27,Miércoles,13,Licencia,108,2,63.0
2026-01-23,Martes,15,Licencia,30,6,14.0
2026-04-07,Viernes,7,Impuestos,24,5,22.8
2026-04-16,Martes,10,Carnet,55,5,27.0
2026-01-25,Martes,8,Pasaporte,42,5,13.4
2026-01-09,Viernes,8,Licencia,78,2,58.0
2026-02-01,Viernes,7,Pasaporte,30,5,18.0
2026-04-07,Martes,7,Certificado,13,6,16.17
2026-02-10,Martes,16,Certificado,25,3,22.33
2026-01-29,Viernes,13,Certificado,98,4,30.5
2026-04-23,Lunes,9,Carnet,80,5,36.0
2026-05-01,Jueves,17,Impuestos,29,6,19.83
2026-01-20,Martes,11,Pasaporte,64,3,41.33
2026-02-08,Viernes,9,Impuestos,91,5,24.2
2026-02-23,Martes,15,Carnet,38,3,29.67
2026-01-27,Lunes,12,Certificado,70,5,30.0
2026-04-03,Viernes,10,Certificado,43,4,27.75
2026-01-06,Jueves,8,Pasaporte,52,6,19.67
2026-04-22,Martes,12,Licencia,98,2,60.0
2026-04-06,Jueves,14,Pasaporte,91,6,26.17
2026-03-12,Viernes,12,Carnet,96,5,38.2
2026-02-09,Jueves,11,Licencia,63,6,30.5
2026-04-13,Miércoles,14,Impuestos,100,3,49.33
2026-01-06,Miércoles,16,Certificado,19,3,11.33
2026-04-30,Martes,16,Carnet,31,4,16.75
2026-01-30,Viernes,13,Carnet,132,3,64.0
2026-02-02,Miércoles,14,Pasaporte,122,5,34.4
2026-01-18,Viernes,15,Licencia,36,3,18.0
2026-04-18,Jueves,8,Pasaporte,100,2,55.0
2026-04-18,Lunes,17,Pasaporte,19,2,18.5
2026-03-06,Jueves,14,Licencia,107,2,73.5
2026-01-01,Lunes,15,Certificado,40,5,13.0
2026-04-03,Viernes,11,Impuestos,74,4,23.5
2026-04-14,Martes,9,Pasaporte,46,2,32.0
2026-03-21,Jueves,15,Licencia,21,4,18.25
2026-02-17,Martes,13,Carnet,118,6,31.67
2026-03-29,Jueves,8,Impuestos,81,2,47.5
2026-02-18,Martes,15,Licencia,35,2,22.5
2026-03-05,Viernes,13,Licencia,102,6,25.0
2026-01-30,Miércoles,10,Licencia,97,6,36.17
2026-04-29,Martes,8,Carnet,83,4,26.75
2026-01-03,Lunes,10,Carnet,77,3,42.67
2026-01-21,Viernes,16,Carnet,20,6,20.33
2026-02-19,Lunes,9,Licencia,90,2,61.0
2026-02-25,Viernes,10,Certificado,93,2,61.5
2026-03-18,Jueves,13,Impuestos,101,2,63.5
2026-01-30,Martes,12,Certificado,130,5,44.0
2026-03-26,Martes,13,Licencia,70,6,25.67
2026-01-11,Jueves,11,Carnet,49,5,18.8
2026-02-16,Jueves,8,Carnet,45,2,36.5
2026-04-08,Martes,11,Impuestos,46,3,22.33
2026-02-27,Lunes,15,Licencia,40,6,24.67
2026-01-12,Jueves,12,Licencia,130,2,80.0
2026-02-07,Viernes,13,Certificado,109,2,66.5
2026-01-22,Miércoles,17,Carnet,29,3,18.67
2026-02-04,Jueves,14,Carnet,78,2,49.0
2026-02-23,Miércoles,11,Pasaporte,70,2,51.0
2026-04-03,Jueves,17,Licencia,36,6,17.0
2026-01-18,Viernes,11,Impuestos,40,5,23.0
2026-04-13,Viernes,12,Pasaporte,116,4,47.0
2026-02-08,Miércoles,12,Pasaporte,137,3,65.67
2026-02-20,Miércoles,12,Impuestos,97,5,31.4
2026-02-05,Viernes,13,Certificado,106,2,64.0
2026-01-24,Martes,17,Impuestos,40,2,39.0
2026-04-13,Jueves,11,Pasaporte,93,2,64.5
2026-03-23,Jueves,11,Impuestos,55,4,22.75
2026-01-10,Viernes,14,Certificado,136,5,44.2
2026-04-29,Viernes,13,Certificado,129,2,80.5
2026-03-23,Martes,8,Certificado,46,3,31.33
2026-01-06,Lunes,16,Licencia,30,4,25.5
2026-01-13,Jueves,11,Carnet,54,6,21.0
2026-02-20,Miércoles,14,Licencia,135,6,31.5
2026-03-03,Lunes,8,Pasaporte,58,5,18.6
2026-02-14,Viernes,11,Impuestos,61,5,23.2
2026-02-14,Miércoles,14,Licencia,72,5,33.4
2026-02-08,Lunes,7,Pasaporte,12,2,21.0
2026-04-30,Miércoles,10,Certificado,73,3,34.33
2026-02-24,Martes,14,Impuestos,89,5,27.8
2026-02-20,Jueves,7,Licencia,17,5,21.4
2026-04-01,Viernes,10,Licencia,53,4,20.25
2026-04-13,Martes,15,Impuestos,16,4,19.0
2026-01-15,Viernes,11,Impuestos,82,5,31.4
2026-03-20,Miércoles,13,Impuestos,135,2,83.5
2026-03-21,Martes,9,Carnet,92,4,30.0
2026-01-16,Miércoles,10,Pasaporte,59,2,39.5
2026-03-07,Viernes,13,Impuestos,113,6,27.83
2026-02-24,Viernes,9,Pasaporte,71,6,21.83
2026-03-04,Jueves,11,Certificado,48,3,31.0
2026-01-07,Martes,12,Impuestos,61,5,21.2
2026-03-13,Jueves,15,Impuestos,36,5,27.2
2026-03-04,Martes,9,Carnet,45,6,12.5
2026-01-05,Martes,11,Impuestos,54,6,23.0
2026-03-14,Viernes,14,Licencia,130,6,29.67
2026-02-04,Jueves,15,Certificado,28,6,10.67
2026-01-28,Lunes,13,Impuestos,73,3,38.33
2026-02-03,Martes,12,Pasaporte,71,5,22.2
2026-04-14,Martes,16,Certificado,27,6,22.5
2026-01-18,Viernes,10,Carnet,92,3,36.67
2026-03-10,Miércoles,11,Carnet,78,6,23.0
2026-02-07,Martes,16,Impuestos,22,6,11.67
2026-04-28,Martes,7,Pasaporte,22,3,16.33
2026-04-02,Martes,12,Certificado,91,5,38.2
2026-03-22,Jueves,11,Licencia,80,5,33.0
2026-03-23,Miércoles,8,Impuestos,65,6,23.83
2026-03-04,Jueves,12,Carnet,134,2,74.0
2026-04-19,Martes,8,Impuestos,90,6,32.0
2026-04-16,Miércoles,10,Carnet,71,4,32.75
2026-03-12,Miércoles,16,Licencia,13,6,22.17
2026-01-06,Lunes,8,Pasaporte,80,5,21.0
2026-02-26,Martes,14,Carnet,60,5,23.0
2026-01-21,Lunes,11,Carnet,45,4,24.25
2026-03-27,Miércoles,17,Pasaporte,15,2,24.5
2026-02-24,Martes,17,Impuestos,10,2,10.0
2026-01-10,Lunes,9,Licencia,77,3,44.67
2026-03-31,Jueves,12,Licencia,75,5,24.0
2026-01-30,Miércoles,13,Carnet,71,2,43.5
2026-04-23,Martes,11,Licencia,48,5,18.6
2026-03-09,Jueves,16,Carnet,5,6,10.83
2026-04-03,Viernes,10,Impuestos,80,3,44.67
2026-04-21,Lunes,10,Certificado,45,2,31.5
2026-04-04,Martes,13,Pasaporte,104,5,35.8
2026-02-05,Lunes,17,Carnet,10,3,17.33
2026-01-27,Miércoles,15,Licencia,37,3,29.33
2026-04-11,Martes,10,Impuestos,71,5,22.2
2026-03-23,Miércoles,16,Carnet,9,6,6.5
2026-01-17,Viernes,13,Pasaporte,132,5,42.4
2026-04-08,Lunes,14,Carnet,69,2,41.5
2026-01-28,Viernes,7,Impuestos,8,5,15.6
2026-02-24,Miércoles,13,Licencia,70,6,20.67
2026-02-09,Viernes,8,Carnet,72,3,33.0
2026-02-20,Martes,16,Licencia,9,4,20.25
2026-02-01,Jueves,8,Certificado,99,5,27.8
2026-03-19,Lunes,7,Pasaporte,24,3,16.0
2026-03-31,Viernes,7,Certificado,15,5,19.0
2026-04-11,Miércoles,11,Licencia,50,4,21.5
2026-04-09,Viernes,7,Licencia,26,5,18.2
2026-02-03,Viernes,16,Carnet,9,5,20.8
2026-01-08,Martes,14,Carnet,132,3,60.0
2026-04-09,Martes,8,Certificado,97,6,24.17
2026-01-01,Jueves,7,Carnet,5,3,7.67
2026-02-19,Martes,9,Carnet,51,2,43.5
2026-02-01,Viernes,13,Carnet,100,4,32.0
2026-01-16,Viernes,15,Licencia,8,3,14.67
2026-02-21,Miércoles,8,Carnet,96,5,33.2
